tick,index_price,change,percent_change
0,0.98592,0.0,0.0
1,0.98592,0.0,0.0
2,0.98592,0.0,0.0
3,0.98592,0.0,0.0
4,0.98592,0.0,0.0
5,0.98592,0.0,0.0
6,0.98592,0.0,0.0
7,0.98592,0.0,0.0
8,0.98592,0.0,0.0
9,0.98592,0.0,0.0
10,0.98592,0.0,0.0
11,0.98592,0.0,0.0
12,0.98592,0.0,0.0
13,0.98592,0.0,0.0
14,0.98592,0.0,0.0
15,0.98592,0.0,0.0
16,0.98768,0.00176,0.0018
17,0.98768,0.0,0.0
18,0.98768,0.0,0.0
19,0.98768,0.0,0.0
20,0.98768,0.0,0.0
21,0.98768,0.0,0.0
22,0.98768,0.0,0.0
23,0.98768,0.0,0.0
24,0.98768,0.0,0.0
25,0.98768,0.0,0.0
26,0.98768,0.0,0.0
27,0.98768,0.0,0.0
28,0.98768,0.0,0.0
29,0.98768,0.0,0.0
30,0.98768,0.0,0.0
31,0.98768,0.0,0.0
32,0.98768,0.0,0.0
33,0.98768,0.0,0.0
34,0.98768,0.0,0.0
35,0.98768,0.0,0.0
36,0.98768,0.0,0.0
37,0.98768,0.0,0.0
38,0.98768,0.0,0.0
39,0.98768,0.0,0.0
40,0.98768,0.0,0.0
41,0.98768,0.0,0.0
42,0.98768,0.0,0.0
43,0.98768,0.0,0.0
44,0.98768,0.0,0.0
45,0.98768,0.0,0.0
46,0.98945,0.00177,0.0018
47,0.98945,0.0,0.0
48,0.98945,0.0,0.0
49,0.98945,0.0,0.0
50,0.91742,-0.07203,-0.0785
51,0.91646,-0.00097,-0.0011
52,0.91624,-0.00022,-0.0002
53,0.91602,-0.00022,-0.0002
54,0.91524,-0.00078,-0.0009
55,0.91435,-0.00089,-0.001
56,0.91346,-0.00088,-0.001
57,0.9126,-0.00086,-0.0009
58,0.91175,-0.00086,-0.0009
59,0.9109,-0.00084,-0.0009
60,0.91007,-0.00083,-0.0009
61,0.9092,-0.00087,-0.001
62,0.90832,-0.00088,-0.001
63,0.90747,-0.00086,-0.0009
64,0.90658,-0.00089,-0.001
65,0.90571,-0.00087,-0.001
66,0.90485,-0.00086,-0.001
67,0.90401,-0.00084,-0.0009
68,0.90318,-0.00083,-0.0009
69,0.90237,-0.00081,-0.0009
70,0.90157,-0.0008,-0.0009
71,0.90079,-0.00078,-0.0009
72,0.90001,-0.00078,-0.0009
73,0.89928,-0.00074,-0.0008
74,0.89852,-0.00075,-0.0008
75,0.89777,-0.00075,-0.0008
76,0.89698,-0.0008,-0.0009
77,0.8962,-0.00077,-0.0009
78,0.89538,-0.00083,-0.0009
79,0.89457,-0.00081,-0.0009
80,0.8938,-0.00077,-0.0009
81,0.89301,-0.00079,-0.0009
82,0.89224,-0.00077,-0.0009
83,0.89143,-0.00081,-0.0009
84,0.89055,-0.00088,-0.001
85,0.88949,-0.00106,-0.0012
86,0.88846,-0.00102,-0.0012
87,0.88752,-0.00094,-0.0011
88,0.88664,-0.00088,-0.001
89,0.8858,-0.00084,-0.0009
90,0.885,-0.0008,-0.0009
91,0.88411,-0.00089,-0.001
92,0.88325,-0.00086,-0.001
93,0.88238,-0.00086,-0.001
94,0.88211,-0.00027,-0.0003
95,0.88113,-0.00098,-0.0011
96,0.88017,-0.00096,-0.0011
97,0.87987,-0.0003,-0.0003
98,0.87888,-0.00099,-0.0011
99,0.87792,-0.00096,-0.0011
100,0.87694,-0.00098,-0.0011
101,0.87663,-0.00031,-0.0004
102,0.87663,0.0,0.0
103,0.87572,-0.00092,-0.001
104,0.87572,0.0,0.0
105,0.87572,0.0,0.0
106,0.87572,0.0,0.0
107,0.87572,0.0,0.0
108,0.87572,0.0,0.0
109,0.87572,0.0,0.0
110,0.87572,0.0,0.0
111,0.87572,0.0,0.0
112,0.87572,0.0,0.0
113,0.87572,0.0,0.0
114,0.87572,0.0,0.0
115,0.87572,0.0,0.0
116,0.87572,0.0,0.0
117,0.87572,0.0,0.0
118,0.87572,0.0,0.0
119,0.87572,0.0,0.0
